                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.55286,                 1.5462,                0.10364,                0.41294,                0.90828,                0.99817,                      1,                  0.995,                0.91827,                0.99817,                      1,                  0.995,                 0.9538,                0.42643,                0.40258,                0.00847,                0.27843,                 0.8544,              0.0013204,              0.0013204,              0.0013204
                     24,                0.53598,                 1.3787,                0.09666,                0.40028,                 0.9003,                0.99816,                      1,                  0.995,                0.97624,                0.99816,                      1,                  0.995,                0.89415,                0.29209,                 0.4332,                0.01017,                0.27547,                0.81303,              0.0013039,              0.0013039,              0.0013039
                     25,                0.52955,                 1.4856,                 0.1047,                0.39731,                0.89087,                 0.9978,                      1,                  0.995,                0.90981,                 0.9978,                      1,                  0.995,                0.85178,                0.43296,                0.48137,                0.00382,                0.27645,                0.85983,              0.0012874,              0.0012874,              0.0012874
                     26,                0.53669,                 1.3672,                0.10311,                0.39363,                0.90091,                0.99807,                      1,                  0.995,                0.95272,                0.99807,                      1,                  0.995,                0.71398,                0.37446,                 1.1071,                0.01872,                0.30208,                0.83324,              0.0012709,              0.0012709,              0.0012709
                     27,                  0.523,                 1.4069,                0.10169,                0.39444,                0.89821,                0.99813,                      1,                  0.995,                0.92094,                0.99813,                      1,                  0.995,                0.90995,                 0.4735,                0.57131,                0.01613,                0.36355,                0.87759,              0.0012544,              0.0012544,              0.0012544
                     28,                0.50085,                 1.2938,                0.09486,                0.37973,                0.88246,                0.99817,                      1,                  0.995,                0.92414,                0.99817,                      1,                  0.995,                0.89624,                0.43885,                0.50665,                0.00788,                 0.2895,                0.86066,              0.0012379,              0.0012379,              0.0012379
                     29,                0.54935,                 1.3487,                0.10889,                0.39317,                0.90813,                 0.9982,                      1,                  0.995,                0.96521,                 0.9982,                      1,                  0.995,                0.92726,                 0.3183,                0.45816,                0.01844,                0.25774,                0.81978,              0.0012214,              0.0012214,              0.0012214
                     30,                0.52336,                 1.2521,                0.10284,                0.37921,                0.89709,                0.99809,                      1,                  0.995,                0.91015,                0.99809,                      1,                  0.995,                 0.8279,                0.40527,                0.48348,                 0.0102,                0.27171,                0.84838,              0.0012049,              0.0012049,              0.0012049
                     31,                0.53942,                 1.3995,                 0.1027,                0.38969,                0.90181,                0.99812,                      1,                  0.995,                0.96787,                0.99812,                      1,                  0.995,                0.87624,                0.30976,                0.46845,                 0.0126,                0.23146,                0.80629,              0.0011884,              0.0011884,              0.0011884
                     32,                0.51546,                 1.3575,                0.10877,                0.38444,                0.89176,                0.99814,                      1,                  0.995,                0.96436,                0.99814,                      1,                  0.995,                0.97748,                0.26055,                 0.2836,                0.00463,                 0.2348,                0.79708,              0.0011719,              0.0011719,              0.0011719
